Data,Label,,,,,,,,,,,,,,,,,,,,,,,,
"মেকাপ করতে করতে মুখের বর্তমান যে অবস্থা তাতে মনে হচ্ছে ইউরোপ দেশের কোন মেয়ে বুড়া হয়ে গেলে যেমন তেমন
",2,,,,,,,,,,,,,,,,,,,,,,,,
উচ্চবিত্ত পরিবারেও নানা কৌশলে যৌতুক দেয়া এবং নেয়া হচ্ছে৷,1,,,,,,,,,,,,,,,,,,,,,,,,
"দিদি  সামনের চুল গুলা না রাখলে কী সমস্যা টা হতো?
ধুর ছবির আসল মজাটাই নষ্ট হয়ে গেলো!
কিন্তু যাই হোক না কেনো ফটোগ্রাফার কিন্তু দেখেছে জিনিস টা কতো বড়",2,,,,,,,,,,,,,,,,,,,,,,,,
নষ্টা মেয়ে ছাড়া কখনো সিগারেট খেতে পারে না।,2,,,,,,,,,,,,,,,,,,,,,,,,
খানকী গুলা ঢাকা শহর তো নষ্ট করসে এখন কক্সবাজার কেও,2,,,,,,,,,,,,,,,,,,,,,,,,
সব মেয়েরাই ভূত একেকটা!,2,,,,,,,,,,,,,,,,,,,,,,,,
অপু তোমার সামনের রাস্তা টা বড় হয়ে গেছে মনে হয় মানুষের জাতা য়াত বেশি হচ্ছে ত তাই,2,,,,,,,,,,,,,,,,,,,,,,,,
"দুঃসময়ে প্রথম যে মানুষটি পাশে দাঁড়ায়, চরম সিদ্ধান্তিহীনতায় যে ব্যক্তিটি একটি লক্ষ্যে স্থির রাখতে সাহায্য করে, তিনিই স্ত্রী। ",1,,,,,,,,,,,,,,,,,,,,,,,,
নারীবান্ধব পরিবেশ তৈরি হয়েছে।,1,,,,,,,,,,,,,,,,,,,,,,,,
 সবদিক থেকেই দেখা যায় আমাদের দেশের কন্যা-শিশুরা অবহেলিত ও নির্যাতিত। ,1,,,,,,,,,,,,,,,,,,,,,,,,
দিল্লিতে জেসিকা লাল নামক এক মডেল ও রেস্টুরেন্ট কর্মী হত্যার ঘটনাকে ঘিরে নির্মিত এই চলচ্চিত্রটি।,0,,,,,,,,,,,,,,,,,,,,,,,,
বাবাদের একটা মেয়ে জন্ম হওয়া মানে সারা জীবনের জন্য দুর্বিষহ!,2,,,,,,,,,,,,,,,,,,,,,,,,
কন্যা-শিশুদের স্বাস্থ্যের ক্ষেত্রে বাংলাদেশ সাফল্য অর্জন করেছে। ,1,,,,,,,,,,,,,,,,,,,,,,,,
"অশ্লীল কৌতুক, ফোনে বা ইমেইলে কু ইঙ্গিত, অপ্রীতিকর স্পর্শ, কাজের ছুতোয় শারীরিকভাবে হেনস্তা করা- আরো অনেক কিছুই নারীদের যৌন হয়রানির মধ্যে পড়ে",1,,,,,,,,,,,,,,,,,,,,,,,,
এই সমাজে বাবার মৃত্যুর পর বাবার বাড়ির সম্পত্তি মেয়েদের বুঝিয়ে দেওয়া হয় না।,1,,,,,,,,,,,,,,,,,,,,,,,,
নারী নতুন পুরুষের ছোয়া পেলে পুরনো প্রেমিকের নামসহ ভূলে যায়,2,,,,,,,,,,,,,,,,,,,,,,,,
পৃথিবীতে সুন্দুরীদের ব্যারথতার হার অনেক বেশি। কী লাভ এতো সুন্দর করে নিজেকে সাজানো । সামির মনটাই যোগাইতে পারলানা।,2,,,,,,,,,,,,,,,,,,,,,,,,
কিন্তু সমাজে নারী-পুরুষের চরম বৈষম্য দেখা যায়,0,,,,,,,,,,,,,,,,,,,,,,,,
দুই প্রতিবেশীর মধ্যে সম্পর্কে আরো উত্তাপ ছড়িয়েছে বন্যা পরিস্থিতি।,0,,,,,,,,,,,,,,,,,,,,,,,,
